1727980077.24	1	9
1727980084.44	29	9
1727980127.50	2	1848
1727980127.56	3	1507
1727980127.63	4	1549
1727980127.70	5	3778
1727980127.83	7	2783
1727980127.90	8	3835
1727980127.97	9	1345
1727980128.03	10	3434
1727980128.10	11	2597
1727980128.17	12	1435
1727980128.24	13	3635
1727980128.30	14	2224
1727980128.37	15	2424
1727980128.44	16	2453
1727980128.57	18	4305
1727980128.64	19	2249
1727980128.71	20	2075
1727980128.77	21	4264
1727980128.84	22	3479
1727980128.91	23	3805
1727980128.97	24	3437
1727980129.04	25	4011
1727980129.11	26	2003
1727980129.18	27	9
1727980130.70	28	9
1727980133.22	30	3979
1727980133.35	32	2516
