1775223197.73	0	ON
1775223197.94	0	ON
1775223197.95	0	ON
1775223197.96	0	ON
1775223197.99	0	ON
1775223198.01	0	ON
1775223198.07	0	ON
1775223198.08	0	ON
1775223198.19	0	ON
1775223198.25	0	ON
1775223198.28	0	ON
1775223198.37	0	ON
1775223198.39	0	ON
1775223198.43	0	ON
1775223198.45	0	ON
1775223198.50	0	ON
1775223198.51	0	ON
1775223198.56	0	ON
1775223198.57	0	ON
1775223198.59	0	ON
1775223198.65	0	ON
1775223198.68	0	ON
1775223198.76	0	ON
1775223198.79	0	ON
1775223198.87	0	ON
1775223198.88	0	ON
1775223198.94	0	ON
1775223198.96	0	ON
1775223199.03	0	ON
1775223199.05	0	ON
1775223199.10	0	ON
1775223199.12	0	ON
1775223199.13	0	ON
1775223199.16	0	ON
1775223199.18	0	ON
1775223199.20	0	ON
1775223199.26	0	ON
1775223199.27	0	ON
1775223199.29	0	ON
1775223199.35	0	ON
1775223199.40	0	ON
1775223199.42	0	ON
1775223199.43	0	ON
1775223199.49	0	ON
1775223199.49	0	ON
1775223199.50	0	ON
1775223199.55	0	ON
1775223199.56	0	ON
1775223199.57	0	ON
1775223199.62	0	ON
1775223199.63	0	ON
1775223199.64	0	ON
1775223199.65	0	ON
1775223199.66	0	ON
1775223199.77	0	ON
1775223199.81	0	ON
1775223199.84	0	ON
1775223199.87	0	ON
1775223199.89	0	ON
1775223199.90	0	ON
1775223200.00	0	ON
1775223200.01	0	ON
1775223200.02	0	ON
1775223200.03	0	ON
1775223200.05	0	ON
1775223200.07	0	ON
1775223200.07	0	ON
1775223200.10	0	ON
1775223200.12	0	ON
1775223200.13	0	ON
1775223200.15	0	ON
1775223200.16	0	ON
1775223200.17	0	ON
1775223200.19	0	ON
1775223200.21	0	ON
1775223200.29	0	ON
1775223200.30	0	ON
1775223200.32	0	ON
1775223200.34	0	ON
1775223200.41	0	ON
1775223200.43	0	ON
1775223200.45	0	ON
1775223200.47	0	ON
1775223200.53	0	ON
1775223200.54	0	ON
1775223200.56	0	ON
1775223200.57	0	ON
1775223200.59	0	ON
1775223200.60	0	ON
1775223200.61	0	ON
1775223200.62	0	ON
1775223200.62	0	ON
1775223200.68	0	ON
1775223200.70	0	ON
1775223200.99	1	OFF
1775223201.78	2	ON
1775223202.20	3	OFF
1775223205.66	4	ON
1775223207.74	5	OFF
1775223208.96	6	ON
1775223210.38	7	OFF
1775223214.66	8	ON
1775223215.56	9	ON
1775223217.49	10	OFF
1775223222.17	11	ON
1775223222.45	12	OFF
1775223223.98	13	ON
1775223225.04	14	OFF
1775223225.81	15	OFF
1775223226.34	16	OFF
1775223228.87	17	ON
1775223230.03	18	OFF
1775223231.15	19	ON
1775223235.36	20	OFF
1775223238.32	21	OFF
1775223242.82	22	ON
1775223245.64	23	OFF
1775223250.27	24	ON
1775223250.44	25	ON
1775223254.44	26	OFF
1775223255.83	27	ON
1775223257.68	28	ON
1775223258.38	29	ON
1775223259.51	30	ON
1775223262.81	31	OFF
1775223266.55	32	ON
1775223268.29	33	ON
1775223269.38	34	OFF
1775223271.07	35	OFF
1775223273.14	36	OFF
1775223274.77	37	OFF
1775223276.96	38	ON
1775223281.43	39	ON
1775223284.92	40	ON
1775223288.76	41	OFF
1775223292.91	42	ON
1775223294.39	43	ON
1775223299.06	44	OFF
1775223299.39	45	ON
1775223300.07	46	OFF
1775223300.90	47	ON
1775223301.81	48	ON
1775223306.13	49	OFF
1775223309.57	50	OFF
1775223314.31	51	OFF
1775223318.19	52	OFF
1775223321.77	53	OFF
1775223323.56	54	OFF
1775223326.60	55	OFF
1775223327.13	56	OFF
1775223329.09	57	ON
1775223330.70	58	ON
1775223331.06	59	ON
1775223335.04	60	ON
1775223339.23	61	ON
1775223342.73	62	ON
1775223344.66	63	ON
1775223349.36	64	OFF
1775223351.66	65	ON
1775223353.80	66	OFF
1775223357.38	67	OFF
1775223360.64	68	OFF
1775223362.91	69	ON
1775223363.05	70	ON
1775223367.92	71	OFF
1775223372.83	72	ON
1775223374.99	73	ON
1775223375.54	74	ON
1775223379.10	75	ON
1775223380.95	76	OFF
1775223382.14	77	OFF
1775223384.37	78	OFF
1775223385.93	79	ON
1775223386.21	80	ON
1775223389.08	81	ON
1775223390.20	82	OFF
1775223390.60	83	ON
1775223393.65	84	OFF
1775223397.79	85	OFF
1775223398.48	86	OFF
1775223400.02	87	ON
1775223403.84	88	OFF
1775223404.00	89	ON
1775223407.70	90	ON
1775223411.73	91	ON
1775223416.16	92	OFF
1775223419.13	93	OFF
1775223422.75	94	OFF
1775223425.51	95	OFF
1775223426.07	96	OFF
1775223430.99	97	OFF
1775223433.45	98	OFF
1775223435.95	99	OFF
1775223440.89	100	OFF
1775223441.55	101	OFF
1775223445.12	102	ON
1775223449.65	103	ON
1775223452.09	104	ON
1775223454.38	105	ON
1775223457.23	106	ON
1775223459.86	107	OFF
1775223464.75	108	ON
1775223468.66	109	ON
1775223471.72	110	ON
1775223472.23	111	OFF
1775223474.24	112	OFF
1775223475
