1767632260.783	1	4422
1767632260.85	2	3943
1767632260.917	3	4070
1767632260.984	4	2640
1767632261.051	5	3254
1767632261.118	6	2322
1767632261.185	7	4691
1767632261.252	8	1378
1767632261.319	9	3443
1767632261.386	10	3286
1767632261.453	11	2072
1767632261.52	12	4444
1767632261.587	13	3802
1767632261.654	14	2549
1767632261.721	15	2819
1767632261.788	16	2617
1767632261.855	17	1361
1767632261.922	18	1559
1767632261.989	19	4098
1767632262.056	20	2971
1767632262.123	21	3298
1767632262.19	22	1375
1767632262.257	23	4468
1767632262.324	24	2909
1767632262.391	25	9
1767632267.097	26	9
1767632268.225	27	3201
1767632268.292	28	1824
1767632268.359	29	3687
1767632268.426	30	1993
1767632268.493	31	3495
1767632268.56	32	1577
1767632268.627	33	3150
1767632268.694	34	1938
1767632268.761	35	1769
1767632268.828	36	2968
1767632268.895	37	2375
1767632268.962	38	4390
1767632269.029	39	4674
1767632269.097	40	4210
1767632269.164	41	4743
1767632269.231	42	1499
1767632269.298	43	4463
1767632269.365	44	3370
1767632269.432	45	3538
1767632269.499	46	4383
1767632269.566	47	2591
1767632269.633	48	3411
1767632269.7	49	3457
1767632269.767	50	1323
1767632269.834	51	3037
1767632269.901	52	3349
1767632269.968	53	2125
1767632270.035	54	2371
1767632270.102	55	1406
1767632270.169	56	3043
1767632270.236	57	9
1767632280.045	58	2837
1767632280.112	59	4220
1767632280.179	60	1620
1767632280.246	61	4012
1767632280.313	62	2325
1767632280.38	63	2323
1767632280.447	64	4525
1767632280.514	65	4370
1767632280.581	66	2066
1767632280.648	67	3408
1767632280.715	68	2608
1767632280.782	69	3045
1767632280.849	70	3954
1767632280.916	71	4581
1767632280.984	72	1881
1767632281.051	73	2457
1767632281.118	74	4046
1767632281.185	75	2099
1767632281.252	76	2513
1767632281.319	77	2525
1767632281.386	78	9
1767632285.138	79	3776
1767632285.205	80	2703
1767632285.272	81	2052
1767632285.339	82	2156
1767632285.406	83	1690
1767632285.473	84	2730
1767632285.54	85	1260
1767632285.607	86	4535
1767632285.674	87	3329
1767632285.741	88	2034
1767632285.808	89	1497
1767632285.875	90	1458
1767632285.942	91	3598
1767632286.009	92	2163
1767632286.076	93	2653
1767632286.143	94	4477
1767632286.21	95	2634
1767632286.277	96	2154
1767632286.344	97	2898
1767632286.411	98	3904
1767632286.478	99	4567
1767632286.545	100	3976
1767632286.612	101	3452
1767632286.679	102	2560
1767632286.746	103	2381
1767632286.813	104	3941
1767632286.88	105	1540
1767632286.947	106	3397
1767632287.015	107	1421
1767632287.081	108	2711
1767632287.149	109	1313
1767632287.216	110	3257
1767632287.283	111	3309
1767632287.35	112	4399
1767632287.417	113	3756
1767632287.484	114	9
1767632295.073	115	4385
1767632295.14	116	4170
1767632295.207	117	2379
1767632295.274	118	2936
1767632295.341	119	2139
1767632295.408	120	4148
1767632295.475	121	2999
1767632295.542	122	3914
1767632295.609	123	4464
1767632295.676	124	2872
1767632295.743	125	3695
1767632295.81	126	1460
1767632295.877	127	1647
1767632295.944	128	1790
1767632296.011	129	2489
1767632296.078	130	2100
1767632296.145	131	2559
1767632296.212	132	1508
1767632296.279	133	4004
1767632296.346	134	3309
1767632296.414	135	9
1767632303.199	136	9
1767632312.589	137	9
1767632320.047	138	3600
1767632320.114	139	1615
1767632320.181	140	4455
1767632320.248	141	1962
1767632320.315	142	2190
1767632320.382	143	3620
1767632320.45	144	3167
1767632320.517	145	1557
1767632320.584	146	4523
1767632320.651	147	1717
1767632320.718	148	3876
1767632320.785	149	2242
1767632320.852	150	1794
1767632320.919	151	4557
1767632320.986	152	4633
